id,output
41,0.95878136
28,0.8208673
222,0.6911719
106,0.47102353
108,0.9571425
233,0.033703778
220,0.10770011
58,0.9684221
95,0.04720575
79,0.54136246
256,0.020094695
22,0.9450765
285,0.026653094
192,0.11880992
137,0.8983416
183,0.1313018
206,0.023788145
286,0.8501254
9,0.9559034
65,0.95224154
133,0.77411747
80,0.95296806
76,0.9317762
276,0.048506282
172,0.94763875
150,0.82563627
280,0.18783984
149,0.9611706
64,0.9524073
254,0.7311415
88,0.93468183
123,0.9131743
8,0.9454698
110,0.21304144
93,0.91730976
140,0.9725265
235,0.2858265
37,0.77889204
15,0.95027655
136,0.9190239
196,0.87899363
72,0.97275823
272,0.94780135
297,0.044055235
300,0.054737583
26,0.96575904
281,0.65867925
1,0.9437374
139,0.027617134
46,0.9603635
163,0.9358789
138,0.26598346
168,0.05760371
127,0.9482459
36,0.9643241
118,0.9331089
6,0.9572978
269,0.040878344
2,0.977362
14,0.947817
193,0.019572431
