id,output
48,1
124,1
129,1
78,1
151,1
104,1
13,1
301,0
290,0
111,1
216,0
199,0
294,0
73,1
3,1
171,0
298,0
249,0
98,1
77,1
35,1
287,0
212,0
94,1
0,1
215,0
250,0
210,0
208,0
242,0
75,1
195,0
289,0
237,0
61,1
265,0
24,1
205,0
125,1
10,1
117,1
243,0
167,0
43,1
18,1
56,1
228,0
85,1
200,0
59,1
299,0
179,0
23,1
295,0
42,1
97,1
227,0
209,0
251,0
247,0
213,0
68,1
122,1
132,1
103,1
51,1
230,0
141,1
145,1
170,0
261,0
53,1
16,1
267,0
34,1
92,1
232,0
4,1
202,0
161,1
86,1
52,1
177,0
264,0
45,1
130,1
188,0
142,1
158,1
180,0
156,1
182,0
224,0
275,0
241,0
55,1
31,1
187,0
284,0
173,0
54,1
279,0
239,0
184,0
186,0
66,1
99,1
162,1
91,1
74,1
204,0
134,1
126,1
226,0
30,1
258,0
105,1
71,1
211,0
12,1
166,0
207,0
81,1
214,0
259,0
112,1
197,0
69,1
160,1
240,0
153,1
288,0
201,0
231,0
143,1
147,1
260,0
268,0
83,1
277,0
266,0
191,0
174,0
270,0
248,0
283,0
67,1
39,1
29,1
47,1
302,0
96,1
190,0
189,0
176,0
165,0
217,0
291,0
135,1
60,1
219,0
175,0
154,1
221,0
62,1
244,0
90,1
113,1
38,1
278,0
293,0
115,1
262,0
20,1
121,1
107,1
225,0
131,1
87,1
223,0
148,1
32,1
273,0
181,0
146,1
252,0
89,1
238,0
50,1
159,1
271,0
255,0
203,0
253,0
155,1
84,1
274,0
100,1
119,1
236,0
27,1
245,0
7,1
282,0
17,1
11,1
40,1
218,0
82,1
185,0
19,1
164,1
114,1
25,1
246,0
296,0
169,0
292,0
234,0
5,1
120,1
178,0
144,1
49,1
63,1
194,0
229,0
257,0
263,0
101,1
33,1
70,1
102,1
198,0
152,1
21,1
157,1
44,1
109,1
128,1
57,1
116,1
