ID,Reached.on.Time_Y.N
8285,0.53507394
10192,0.27156088
8675,0.24047223
5753,0.58465964
448,0.9954964
7468,0.4338699
95,0.99986136
3815,0.6025439
5809,0.3430316
7613,0.7408559
10811,0.37539068
8623,0.5500398
10276,0.50971526
6002,0.7333163
9746,0.34776562
878,0.99986494
2448,0.99965847
2350,0.9998392
686,0.9998292
736,0.99989367
5766,0.53082174
2338,0.9998927
1673,0.99981254
8392,0.47646117
8857,0.6136025
5926,0.35121644
2915,0.99963176
6821,0.15370362
7004,0.2499321
7806,0.13418615
2813,0.9994561
7714,0.33048332
1738,0.9999553
3270,0.15816185
2111,0.99992263
6302,0.6928736
3702,0.30379787
4299,0.2432081
1641,0.9997707
5622,0.25919145
348,0.99984705
2313,0.9999387
4806,0.2942098
1438,0.97886866
3257,0.5188093
8662,0.22324273
6697,0.107090905
4984,0.3422809
4982,0.16605492
8157,0.28912073
4948,0.40940657
2496,0.999838
8891,0.12379596
3737,0.49319142
4983,0.63833296
5167,0.34255403
9124,0.52941245
46,0.990108
4965,0.4297036
8605,0.5798566
10540,0.32011306
874,0.9999243
537,0.999757
7279,0.48137122
6709,0.2690622
402,0.99954706
845,0.99977523
2517,0.99988854
2594,0.99980444
3252,0.7867866
7872,0.3398373
6424,0.3462059
3858,0.4617207
8715,0.16980162
3809,0.19593589
10331,0.3373577
7877,0.57535213
3489,0.30082753
7159,0.18584464
8099,0.5716067
1968,0.9997011
1331,0.99974495
8384,0.27820918
10475,0.20808795
3350,0.516478
4106,0.1910537
2885,0.9998838
3177,0.61749166
7216,0.29215878
2695,0.9992347
5067,0.49777064
9639,0.3357476
229,0.99498945
3869,0.6070633
4778,0.51210195
6506,0.18605924
9599,0.8427451
4016,0.37673312
10222,0.3553298
3249,0.3149183
6065,0.2341783
7751,0.4167892
4582,0.33487812
4142,0.29213336
3511,0.699946
5802,0.61119926
10347,0.42132035
2755,0.9988091
1192,0.9999049
8298,0.11613439
9380,0.12114053
6759,0.44898963
5615,0.37921938
10882,0.17817545
7682,0.43308228
9895,0.093554735
662,0.7300762
2922,0.99970704
3215,0.13978396
9710,0.6248803
1498,0.99924016
6792,0.40099236
10389,0.4506009
819,0.9999051
1263,0.9999471
10636,0.2208158
427,0.9998652
63,0.9999038
6025,0.47422716
10086,0.37234557
6190,0.46594515
8256,0.47397915
4404,0.5170628
6717,0.4456758
7793,0.18856333
704,0.99986076
2580,0.9997528
1004,0.9825172
5131,0.25826842
9921,0.5936461
8852,0.29925317
8518,0.3940454
6562,0.11927681
638,0.99970585
10613,0.46330926
8383,0.45009986
424,0.9998784
729,0.9998211
7346,0.45493567
7046,0.39033177
2990,0.9990466
10414,0.45684958
5430,0.22101459
7323,0.3793315
3746,0.4036659
10795,0.37307078
9449,0.41199788
8357,0.67336375
3337,0.38714096
6291,0.47346956
2497,0.9999299
5494,0.19829312
8507,0.3850788
10676,0.59454286
7827,0.12259521
6874,0.6958447
754,0.99992526
3600,0.36800662
10445,0.41360903
2198,0.99995375
2792,0.9999505
6132,0.79901886
2390,0.9998889
5105,0.44457784
4265,0.66803324
765,0.9996493
645,0.9997634
5034,0.02006971
9812,0.73136604
2785,0.99988794
10444,0.32286173
5206,0.18485782
5009,0.73837763
7859,0.77242774
8551,0.40427923
6172,0.70186925
4472,0.7915005
2553,0.95731133
5076,0.1633597
5849,0.48098812
3220,0.2545683
3453,0.57983774
7708,0.25684536
8246,0.16307527
9515,0.72275525
1384,0.99956053
9150,0.5046029
8102,0.50838214
6138,0.6768382
2107,0.99076265
10093,0.6063086
9605,0.24454878
4379,0.37494427
6630,0.401299
9011,0.47829938
5914,0.22206034
3750,0.5844783
5677,0.3751888
1507,0.9998697
8079,0.28020573
9432,0.2810846
8121,0.39817408
1740,0.99946004
8718,0.2042422
3564,0.8760353
3897,0.3953666
2021,0.9837462
9222,0.588183
10965,0.30698523
10819,0.8862079
7798,0.26754883
421,0.99977475
10925,0.69535947
2881,0.99984634
108,0.99984753
9942,0.335596
7679,0.14323623
5071,0.583003
10537,0.21573316
